name,time/op (ns/op),±
Gol/16x16x100-1-8,5.89897E+06,29%
Gol/16x16x100-2-8,6.86069E+06,22%
Gol/16x16x100-3-8,5.21370E+06,14%
Gol/16x16x100-4-8,5.04922E+06,21%
Gol/16x16x100-5-8,5.06375E+06,45%
Gol/16x16x100-6-8,4.72783E+06,11%
Gol/16x16x100-7-8,6.08614E+06,75%
Gol/16x16x100-8-8,4.87062E+06,5%
Gol/16x16x100-9-8,4.99681E+06,8%
Gol/16x16x100-10-8,4.94092E+06,9%
Gol/16x16x100-11-8,5.53708E+06,19%
Gol/16x16x100-12-8,5.77761E+06,16%
Gol/16x16x100-13-8,5.45765E+06,17%
Gol/16x16x100-14-8,4.83585E+06,9%
Gol/16x16x100-15-8,4.88641E+06,15%
Gol/16x16x100-16-8,5.53700E+06,16%
