name,time/op (ns/op),±
Gol/16x16x100-1-12,5.81420E+06,4%
Gol/16x16x100-2-12,5.57399E+06,13%
Gol/16x16x100-3-12,5.86214E+06,12%
Gol/16x16x100-4-12,5.11795E+06,2%
Gol/16x16x100-5-12,5.16746E+06,4%
Gol/16x16x100-6-12,5.29499E+06,7%
Gol/16x16x100-7-12,5.06768E+06,4%
Gol/16x16x100-8-12,5.29032E+06,7%
Gol/16x16x100-9-12,5.43998E+06,4%
Gol/16x16x100-10-12,5.39653E+06,7%
Gol/16x16x100-11-12,5.46757E+06,3%
Gol/16x16x100-12-12,5.37057E+06,5%
Gol/16x16x100-13-12,5.19633E+06,5%
Gol/16x16x100-14-12,5.44047E+06,3%
Gol/16x16x100-15-12,5.33698E+06,5%
Gol/16x16x100-16-12,5.56853E+06,4%
